,Cap,FirstTrade,quick,side
0,Mid,12-Oct-15,000120 KS,S
1,Mega,19-Mar-15,000333 CH,L
2,Large,08-Oct-15,000333 CH,L
3,Mega,16-Jun-15,000660 KS,S
4,Mid,16-Jun-15,001450 KS,L
5,Mega,16-Nov-15,002415 CH,L
6,Mid,03-Jul-15,004170 KS,L
7,Large,21-Oct-15,005490 KS,L
8,Mega,27-Nov-14,005930 KS,L
9,Mega,15-Apr-15,005930 KS,S
10,Mid,16-Jun-15,008770 KS,S
11,Mid,02-Nov-15,008770 KS,L
12,Large,12-Oct-15,009240 KS,L
13,Mid,10-Sep-15,009830 KS,S
14,Mid,12-Oct-15,010140 KS,S
15,Large,26-Aug-15,010950 KS,L
16,Large,12-Oct-15,010950 KS,S
17,Large,18-Sep-15,011170 KS,L
18,Mid,31-Jul-15,016360 KS,L
19,Mid,18-Jun-15,034230 KS,S
20,Large,20-Nov-15,035250 KS,L
21,Mega,25-Feb-14,035420 KS,L
22,Mid,25-Aug-15,039130 KS,S
23,Large,19-Nov-15,047810 KS,S
24,Large,10-Sep-15,051900 KS,L
25,Mid,16-Jul-15,064350 KS,S
26,Mid,26-Jun-15,079160 KS,S
27,Mid,16-Jul-15,079160 KS,S
28,Mid,04-Sep-15,079160 KS,L
29,Large,10-Sep-15,090430 KS,L
30,Mega,19-Jan-15,1 HK,L
31,Small,11-Jun-15,1023 HK,L
32,Large,30-Jun-15,1044 HK,S
33,Large,14-Jul-15,1044 HK,L
34,Large,08-Jul-15,1055 HK,S
35,Large,11-Aug-15,105560 KS,L
36,Mid,14-Oct-15,1072 HK,L
37,Small,14-Jul-15,1086 HK,L
38,Mega,05-Feb-15,1088 HK,S
39,Mega,06-Aug-15,1088 HK,S
40,Large,04-Dec-14,1109 HK,L
41,Large,30-Jan-15,1109 HK,L
42,Mega,03-Jun-15,1109 HK,L
43,Mega,03-Jun-15,1109 HK,L
44,Mid,14-Jul-15,1112 HK,L
45,Mega,,1113 HK,L
46,Mega,05-Jun-15,1113 HK,L
47,Large,23-Jan-15,1114 HK,L
48,Large,18-Aug-15,1114 HK,L
49,Large,03-Nov-15,1114 HK,S
50,Mid,10-Mar-15,1117 HK,L
51,Mid,21-Aug-15,1117 HK,S
52,Mid,30-Mar-15,1136 HK,L
53,Mid,16-Sep-14,1138 HK,L
54,Mid,16-Jul-15,1138 HK,L
55,Small,30-Jul-14,1148 HK,L
56,Large,05-Feb-15,1157 HK,L
57,Large,17-Apr-15,1157 HK,L
58,Large,30-Sep-15,1157 HK,S
59,Large,05-Oct-15,1169 HK,L
60,Large,06-Aug-15,1171 HK,S
61,Mega,15-May-15,1186 HK,L
62,Small,01-Jun-15,1206 HK,L
63,Large,12-Feb-15,1211 HK,S
64,Large,17-Mar-15,1211 HK,L
65,Mega,12-Jun-15,1211 HK,L
66,Large,27-Nov-15,1211 HK,S
67,Mid,10-Mar-15,1230 HK,S
68,Mid,29-May-15,1293 HK,L
69,Mid,29-May-15,1293 HK,L
70,Small,29-May-15,1297 HK,L
71,Mega,02-Oct-15,1299 HK,L
72,Micro,20-May-15,1301 HK,L
73,Mid,06-Aug-15,1313 HK,L
74,Mid,05-Mar-15,1316 HK,L
75,Small,22-May-15,1322 HK,L
76,Small,15-Oct-14,1330 HK,L
77,Small,05-Aug-15,1332,L
78,Small,18-Jun-15,1338 TT,S
79,Mid,09-Oct-14,1347 HK,L
80,Small,16-Apr-15,1358 HK,L
81,Large,02-Jan-15,1359 HK,L
82,Small,12-Jun-15,1365 HK,L
83,Small,12-Jun-15,1365 HK,L
84,Mid,22-May-15,1366 HK,L
85,Small,10-Nov-15,1379,L
86,Mid,14-Apr-15,1381 HK,L
87,Mid,08-Oct-15,1382 HK,S
88,Micro,12-Feb-15,1384,L
89,Mid,05-Jun-15,1387 HK,S
90,Mid,05-Jun-15,1387 HK,S
91,Mid,15-Jul-15,1387 HK,S
92,Mega,08-May-15,1398 HK,L
93,Micro,03-Dec-14,1407,S
94,Micro,01-Apr-15,1407,S
95,Micro,16-Jul-15,1407,L
96,Micro,30-Nov-15,1407,L
97,Small,18-May-15,1418 HK,L
98,Micro,16-Mar-15,1430,L
99,Micro,28-Jul-15,1431,L
100,Large,10-Mar-15,151 HK,S
101,Mid,16-Sep-15,1515 HK,L
102,Mid,05-Nov-14,152 HK,L
103,Small,08-Jun-15,1530 HK,L
104,Micro,19-Mar-12,1552,L
105,Large,21-Jan-15,1605,L
106,Large,10-Mar-15,1605,S
107,Large,16-Jun-15,1605,S
108,Large,02-Jan-15,168 HK,S
109,Large,23-Mar-15,168 HK,S
110,Small,17-Apr-14,1685 HK,L
111,Mid,02-Jul-15,1719,L
112,Micro,06-Feb-15,1728,L
113,Mid,29-May-15,1728 HK,L
114,Mid,29-May-15,1728 HK,L
115,Mid,02-Apr-15,175 HK,L
116,Mid,13-May-15,175 HK,S
117,Mid,18-Aug-15,175 HK,L
118,Mega,28-Oct-15,1766 HK,S
119,Mega,01-Apr-15,1776 HK,L
120,Mid,10-Mar-15,1788 HK,L
121,Mid,21-Jan-15,179 HK,S
122,Micro,18-Jul-14,1793,L
123,Small,18-Jul-14,1799,L
124,Mega,18-May-15,1800 HK,L
125,Mega,08-Jul-15,1800 HK,S
126,Mega,08-Jul-15,1800 HK,S
127,Large,07-Apr-15,1801,S
128,Large,12-Jun-15,1801,L
129,Large,21-Oct-15,1801,S
130,Large,13-Nov-15,1801,S
131,Mid,24-Mar-15,1802,L
132,Large,01-Oct-15,1803,L
133,Index,01-Oct-15,1803_CB,L
134,Micro,29-Oct-13,1810,L
135,Mid,14-Mar-14,1812,L
136,Small,09-Apr-15,1813,S
137,Mega,05-Jun-15,1816 HK,S
138,Mid,05-Feb-15,1820,L
139,Mid,30-Oct-15,1820,S
140,Small,23-Jul-15,1822,S
141,Small,31-Aug-15,1822,L
142,Mid,30-Sep-14,1824,L
143,Micro,20-Jan-15,1826,L
144,Small,16-Sep-15,1828 HK,L
145,Large,22-May-15,1829 HK,L
146,Mid,19-Oct-15,1829 HK,S
147,Mid,29-Jun-15,1833 HK,S
148,Small,29-Jun-15,1848 HK,S
149,Mid,25-Aug-15,1861,L
150,Mid,30-Oct-15,1861,S
151,Micro,26-Dec-14,1867,L
152,Micro,05-Sep-13,1869,L
153,Large,24-Nov-15,1878,L
154,Large,12-May-15,1880 HK,L
155,Mid,10-Oct-14,1882 HK,S
156,Small,15-Oct-13,1885,L
157,Small,05-Mar-15,1890,S
158,Small,13-Nov-14,1893,L
159,Large,14-Jan-15,1898 HK,S
160,Large,03-Jun-15,1898 HK,S
161,Large,03-Jun-15,1898 HK,S
162,Large,06-Aug-15,1898 HK,S
163,Small,26-Feb-15,1899,L
164,Mid,11-Jun-15,1910 HK,L
165,Mid,24-Aug-15,1910 HK,S
166,Large,07-Jan-15,1913 HK,S
167,Large,20-Oct-15,1925,S
168,Large,08-Jul-15,1928,S
169,Mega,05-Jun-15,1928 HK,S
170,Micro,08-May-15,1929,S
171,Large,02-Jan-15,1929 HK,L
172,Micro,29-Oct-13,1938,L
173,Mid,20-Jan-15,1942,L
174,Mid,09-Jul-14,1944,L
175,Small,09-Mar-15,1949,L
176,Micro,09-Mar-15,1952,L
177,Large,01-Apr-15,1958 HK,L
178,Large,10-Nov-15,1958 HK,L
179,Small,10-Jun-14,1961,L
180,Large,16-Feb-15,1963,S
181,Mid,05-Aug-15,1963,S
182,Micro,29-Jan-15,1965,L
183,Small,02-Oct-15,1970 HK,L
184,Micro,09-Mar-15,1975,L
185,Small,09-Mar-15,1980,L
186,Mega,29-Jun-15,1988 HK,S
187,Mega,01-Jun-15,2 HK,S
188,Mid,14-Sep-15,2002,L
189,Mid,09-Oct-14,200581 CH,L
190,Large,15-Oct-14,200625 CH,L
191,Large,08-Oct-15,200625 CH,L
192,Large,30-Mar-15,2007 HK,L
193,Large,31-Oct-14,2009 HK,L
194,Small,23-Jun-15,2010 HK,L
195,Small,23-Jun-15,2010 HK,L
196,Small,22-Oct-15,2010 HK,S
197,Small,16-Feb-15,2014 HK,S
198,Large,26-Mar-15,2018 HK,L
199,Large,23-Apr-15,2018 HK,S
200,Large,10-Nov-15,2018 HK,S
201,Large,02-Sep-15,2020 HK,S
202,Mid,27-Dec-13,2038 HK,L
203,Large,25-Sep-15,2105 TT,S
204,Small,05-Oct-15,2109,S
205,Micro,23-Jan-15,2117,L
206,Micro,09-Nov-15,2117,L
207,Small,22-Oct-15,2120,L
208,Small,22-Oct-15,2120,L
209,Small,22-Oct-15,2120,L
210,Mid,08-Jul-15,2121,L
211,Mid,24-Jul-15,2121,L
212,Mid,18-Nov-15,2121,L
213,Small,18-Aug-15,2124,L
214,Small,21-Oct-15,2124,L
215,Mid,21-Aug-15,2128 HK,L
216,Small,15-Jul-15,2131,L
217,Small,07-Jul-15,2138,L
218,Small,19-Aug-15,2138,L
219,Small,06-Oct-15,2138,L
220,Small,10-Nov-15,2138,L
221,Large,08-Sep-15,2196 HK,L
222,Mid,31-Oct-14,2206,L
223,Small,02-Apr-15,2211 HK,L
224,Mid,12-Feb-15,2212,S
225,Mid,08-Sep-15,2212,S
226,Large,04-Aug-15,2229,S
227,Large,20-Aug-15,2229,S
228,Mid,23-Oct-15,2229,S
229,Large,04-Nov-15,2229,L
230,Large,16-Apr-15,2238 HK,S
231,Mid,01-Jun-15,2255 HK,L
232,Mid,01-Jun-15,2255 HK,L
233,Large,08-Jul-15,2267,S
234,Large,05-Oct-15,2267,L
235,Large,25-Nov-15,2267,S
236,Mid,05-Oct-15,2270,S
237,Small,02-Jun-15,2281,L
238,Small,03-Jun-15,2281,S
239,Mid,16-Dec-14,2282,L
240,Mid,01-Apr-15,2282,L
241,Mid,13-Nov-15,2282,S
242,Mid,11-Mar-15,2284,L
243,Mid,27-Oct-15,2284,S
244,Mid,24-Mar-15,2301 TT,S
245,Large,05-Aug-15,2308 TT,S
246,Large,20-May-15,2311 TT,L
247,Mid,27-Aug-14,2313 HK,L
248,Large,08-Oct-15,2313 HK,S
249,Mega,08-Jan-15,2317 TT,S
250,Mega,22-Apr-15,2317 TT,S
251,Mega,01-Dec-14,2318 HK,L
252,Mega,01-Dec-14,2318 HK,L
253,Mid,10-Sep-15,2324 TT,L
254,Micro,19-Jan-15,2325,L
255,Large,17-Mar-15,2325 TT,S
256,Mid,10-Jun-15,2325 TT,S
257,Micro,25-Jul-13,2326,L
258,Mega,31-Mar-15,2328 HK,L
259,Mega,12-Jun-15,2328 HK,L
260,Mega,12-Jun-15,2328 HK,L
261,Mega,01-Sep-15,2328 HK,S
262,Mega,17-Oct-14,2330 TT,L
263,Mega,20-May-15,2330 TT,L
264,Mega,02-Sep-15,2330 TT,S
265,Mega,16-Nov-15,2330 TT,L
266,Mid,29-Sep-15,2331,L
267,Mid,30-Oct-15,2331,S
268,Large,09-Oct-14,2333 HK,L
269,Mega,23-Mar-15,2333 HK,L
270,Mega,14-May-15,2333 HK,S
271,Large,05-Aug-15,2333 HK,S
272,Large,09-Oct-15,2333 HK,S
273,Large,03-Nov-15,2333 HK,L
274,Large,07-Nov-14,2338 HK,S
275,Mid,08-Aug-14,2343 HK,L
276,Mid,05-Nov-14,2357 HK,L
277,Mid,12-Aug-15,2357 HK,L
278,Large,29-Sep-14,2357 TT,S
279,Large,27-Jul-15,2357 TT,S
280,Small,22-Oct-15,2362,L
281,Small,17-Dec-14,2369 HK,L
282,Mid,07-Jan-15,2371,S
283,Mid,14-May-15,2371,S
284,Mid,18-Sep-15,2371,L
285,Mid,11-Sep-15,2379,S
286,Mid,29-Sep-14,2379 TT,S
287,Mid,22-Oct-15,2379 TT,L
288,Mid,02-Sep-14,2380 HK,L
289,Mid,10-Aug-15,2382 HK,L
290,Small,23-Jan-15,2392 TT,L
291,Small,16-Jul-15,2393 TT,S
292,Small,26-Jun-15,2400,L
293,Large,22-Apr-15,2408 TT,L
294,Mid,19-Sep-14,2409 TT,S
295,Mid,12-Sep-13,2413,L
296,Mid,05-Jun-15,242 HK,S
297,Micro,19-Oct-15,2428,L
298,Micro,02-Nov-15,2428,L
299,Micro,08-Jul-15,2429,L
300,Mid,12-Dec-14,2432,L
301,Mid,29-Oct-15,2432,S
302,Mid,17-Nov-15,2432,L
303,Mid,20-May-15,2433,S
304,Mid,14-Aug-15,2433,S
305,Small,25-Aug-15,2440,S
306,Mid,04-Dec-14,2448 TT,L
307,Small,31-Aug-15,2450,L
308,Small,31-Aug-15,2450,L
309,Micro,24-Nov-15,2453,L
310,Mega,30-Jan-15,2454 TT,S
311,Large,03-Sep-15,2454 TT,S
312,Micro,08-Jul-14,2468,L
313,Micro,21-Oct-15,2469,L
314,Large,19-Sep-14,2474 TT,L
315,Large,22-Jul-15,2474 TT,S
316,Large,10-Nov-15,2474 TT,S
317,Mid,29-May-15,2488 HK,L
318,Small,20-Aug-15,2489,L
319,Small,14-Oct-15,2492,S
320,Mid,15-Apr-15,2501,L
321,Large,22-Jan-15,2502,L
322,Large,16-Dec-14,2503,S
323,Large,15-Apr-15,2503,L
324,Large,19-Aug-15,2503,S
325,Large,03-Sep-15,2503,S
326,Large,06-Jul-15,257 HK,S
327,Mid,06-Jul-15,2580,S
328,Large,06-Jul-15,2587,S
329,Mid,27-Feb-15,2593,S
330,Mid,17-Apr-15,2593,S
331,Mid,24-Sep-14,2607,L
332,Mid,10-Nov-15,2607,L
333,Mid,11-Jun-15,2615 TT,S
334,Mid,19-Nov-14,2618 HK,L
335,Mid,22-May-15,2618 HK,L
336,Large,19-Feb-15,2651,S
337,Mid,26-Jun-15,2659,L
338,Small,11-Sep-15,2664,L
339,Mega,05-Dec-14,267 HK,L
340,Mega,24-Feb-15,267 HK,L
341,Mid,30-Jul-15,2670,L
342,Mid,13-Oct-15,2670,S
343,Small,24-Aug-15,2681,S
344,Small,18-Sep-14,2685,L
345,Mid,16-Oct-15,2685,L
346,Small,07-Sep-15,2686,L
347,Mid,08-Jan-15,2689 HK,S
348,Mega,08-Apr-15,27 HK,L
349,Large,05-Jun-15,27 HK,S
350,Mid,16-Dec-14,2702,S
351,Mid,18-Jun-15,2702,S
352,Mid,27-Oct-15,2702,S
353,Small,10-Oct-14,2706,L
354,Small,15-Dec-14,2726,L
355,Large,08-Dec-14,2727 HK,L
356,Mega,15-May-15,2727 HK,L
357,Large,08-Jul-15,2727 HK,S
358,Large,08-Jul-15,2727 HK,S
359,Small,04-Sep-14,2767,S
360,Small,24-Nov-14,2777 HK,L
361,Small,07-Apr-15,2780,L
362,Large,18-Sep-14,2802,L
363,Large,16-Jun-15,2802,L
364,Large,30-Sep-15,2802,L
365,Mid,04-Dec-14,2809,L
366,Mid,27-May-15,2809,S
367,Mid,14-Jul-15,2809,L
368,Mid,08-May-15,285 HK,S
369,Large,26-Feb-15,2866 HK,L
370,Large,20-May-15,2866 HK,L
371,Large,16-Jul-15,2866 HK,S
372,Mid,15-Sep-15,2871,L
373,Mid,09-Apr-15,2880 HK,L
374,Large,03-Feb-15,2883 HK,S
375,Large,01-Apr-15,2897,S
376,Mid,04-Jun-15,2897,L
377,Micro,16-Dec-14,2904,S
378,Mid,08-Jun-15,2908 HK,L
379,Mid,08-Jun-15,2908 HK,L
380,Mid,04-Mar-15,291 HK,S
381,Large,08-Jul-15,291 HK,S
382,Mega,22-Jan-15,2914,S
383,Mega,12-Mar-15,2914,L
384,Mega,22-Apr-15,2914,L
385,Mega,30-Sep-15,2914,S
386,Micro,03-Jun-15,2929,L
387,Mid,27-Nov-14,2931,S
388,Mega,10-Dec-14,3 HK,S
389,Small,16-Jun-15,3002,L
390,Large,21-Apr-15,3003,S
391,Large,19-Sep-14,3008 TT,L
392,Large,10-Nov-15,3008 TT,S
393,Large,24-Nov-15,3008 TT,L
394,Mid,05-May-15,3034 TT,S
395,Small,05-Jan-15,3046,L
396,Mid,28-Jan-15,3048,L
397,Micro,05-Oct-15,3053,L
398,Mid,06-Mar-15,308 HK,L
399,Mid,23-Jan-15,3086,L
400,Mid,12-Aug-15,3088,L
401,Large,30-Apr-15,3099,S
402,Large,12-Aug-15,3099,S
403,Small,12-Nov-14,3105 TT,L
404,Small,08-Feb-13,3107,L
405,Small,16-Jun-15,3107,L
406,Micro,18-Mar-15,3131,L
407,Small,25-Nov-15,3132,L
408,Micro,09-Apr-15,3133,L
409,Micro,09-Apr-15,3134,L
410,Micro,10-Jun-15,3135,L
411,Micro,16-Jun-15,3136,L
412,Micro,18-Jun-15,3137,L
413,Micro,29-Jun-15,3138,L
414,Micro,20-Aug-15,3139,L
415,Small,05-Oct-15,3159,L
416,Mid,12-Dec-14,316 HK,L
417,Mid,26-Feb-15,316 HK,L
418,Micro,30-Dec-14,3166,S
419,Large,29-May-15,317 HK,L
420,Large,29-May-15,317 HK,L
421,Micro,03-Mar-15,3183,S
422,Small,24-Sep-15,3189 TT,S
423,Mid,07-Aug-15,3191,L
424,Mid,02-Jun-15,3197,L
425,Mid,30-Jul-15,3197,L
426,Mid,10-Apr-15,321 HK,L
427,Mid,11-Aug-15,321 HK,L
428,Large,11-Jun-15,322 HK,L
429,Micro,11-Mar-15,3223,L
430,Micro,12-Mar-15,3224,L
431,Mid,19-Feb-15,3226,S
432,Small,23-Jul-15,3227,L
433,Small,23-Jul-15,3227,S
434,Small,17-Sep-15,3227,L
435,Mid,06-Jul-15,323 HK,S
436,Micro,16-Jan-14,3230,L
437,Micro,22-Oct-15,3230,S
438,Micro,24-Nov-15,3230,L
439,Mid,19-Oct-15,3231,S
440,Mid,10-Sep-15,3231 TT,L
441,Small,13-Mar-15,3232,L
442,Micro,24-Nov-15,3237,L
443,Small,05-Jun-15,3240,L
444,Mid,10-Mar-15,3249,S
445,Small,20-Jan-15,3258,L
446,Mid,17-Mar-15,3263,S
447,Micro,25-Nov-15,3276,L
448,Micro,18-Jul-13,3278,L
449,Small,17-Sep-15,3278,L
450,Mid,20-Aug-15,3281,S
451,Small,20-Jan-15,3282,S
452,Mid,05-Jun-15,3285,L
453,Small,05-Mar-15,3287,L
454,Small,21-Oct-15,3287,L
455,Small,04-Nov-15,3287,L
456,Small,19-Dec-14,3288,L
457,Mid,20-Oct-15,3289,S
458,Mid,19-Dec-14,3291,L
459,Mid,01-Apr-15,3291,L
460,Mid,06-Aug-15,3291,S
461,Large,29-Oct-15,3291,S
462,Mid,03-Jun-15,3291_CB,L
463,Mid,05-Feb-15,3292,S
464,Mid,05-Feb-15,3292,S
465,Small,17-Sep-15,3295,L
466,Small,04-Feb-15,3296,L
467,Small,04-Feb-15,3296,S
468,Small,23-Jun-15,3296,L
469,Small,23-Jun-15,3296,S
470,Small,20-May-15,3298,S
471,Micro,24-Nov-15,3300,L
472,Micro,11-Nov-15,3308,L
473,Micro,11-Nov-15,3308,S
474,Mid,30-Apr-15,3308 HK,L
475,Small,25-Nov-14,3309,L
476,Small,13-May-15,3309,S
477,Large,13-Nov-14,3311 HK,S
478,Large,13-Apr-15,3311 HK,L
479,Small,22-May-15,3315 HK,L
480,Large,24-Jun-15,3323 HK,S
481,Mega,09-Mar-15,3328 HK,L
482,Small,25-Feb-14,3333,L
483,Small,30-Jul-15,3333,L
484,Large,17-Nov-15,3333 HK,S
485,Small,22-May-15,3336 HK,L
486,Small,17-Dec-14,3337 HK,S
487,Mid,22-May-15,3339 HK,L
488,Mid,22-May-15,3339 HK,L
489,Small,19-Dec-14,3368 HK,L
490,Mid,18-May-15,337 HK,L
491,Small,24-Mar-15,3374 TT,L
492,Mega,08-Jul-15,3382,L
493,Small,06-Aug-14,3397,L
494,Mid,03-Mar-15,3398,L
495,Mid,05-Nov-14,3401,L
496,Mid,16-Nov-15,3401,L
497,Large,21-Nov-14,3402,L
498,Large,25-Jun-15,3402,L
499,Mid,18-Feb-15,3405,L
500,Mid,26-Nov-15,3405,S
501,Large,20-Mar-15,3407,S
502,Large,04-Aug-15,3407,L
503,Large,15-Oct-15,3407,S
504,Micro,26-Aug-15,3415,L
505,Micro,04-Sep-15,3416,L
506,Mid,21-Oct-15,3418,L
507,Mid,27-Nov-14,3436,L
508,Mid,21-Jan-15,3436,L
509,Mid,21-Apr-15,3436,S
510,Mid,05-Jun-15,3436,S
511,Mid,12-Nov-15,3436,L
512,Micro,01-Sep-15,3443,L
513,Micro,20-Nov-14,3451,L
514,Micro,10-Nov-15,3451,L
515,Small,03-Feb-15,3453,L
516,Small,16-Sep-15,3453,S
517,Micro,12-Mar-15,3455,L
518,Micro,18-Mar-15,3457,L
519,Micro,23-Jun-15,3459,L
520,Micro,28-Oct-15,3460,L
521,Micro,04-Aug-15,3461,L
522,Micro,20-Nov-15,3463,L
523,Large,06-Jul-15,347 HK,S
524,Large,15-Jan-15,3474 TT,S
525,Large,16-Jun-15,3474 TT,S
526,Mid,06-Oct-15,3474 TT,S
527,Large,03-Nov-15,3474 TT,L
528,Small,22-May-15,348 HK,L
529,Small,22-May-15,348 HK,L
530,Micro,16-Jun-15,3529,L
531,Large,29-Sep-15,358 HK,L
532,Small,26-Mar-15,3606 HK,L
533,Mid,30-Sep-15,3606 HK,L
534,Large,27-Oct-15,3606 HK,L
535,Small,26-Feb-15,3608,L
536,Micro,26-Oct-15,3624,L
537,Mid,10-Oct-14,3626,L
538,Mid,11-May-15,3626,L
539,Mid,08-Apr-15,363 HK,L
540,Mid,16-Mar-15,3632,L
541,Mid,23-Apr-15,3632,L
542,Micro,17-Apr-15,3654,L
543,Micro,17-Apr-15,3654,L
544,Micro,29-Dec-14,3655,L
545,Small,14-Jul-15,3656,L
546,Small,24-Jul-15,3656,L
547,Mid,16-Jan-15,3658 TT,L
548,Mid,17-Apr-15,3658 TT,S
549,Mid,24-Sep-15,3658 TT,S
550,Mid,26-Nov-15,3658 TT,L
551,Mid,13-Feb-15,3659,S
552,Large,24-Apr-15,3659,S
553,Large,14-Jul-15,3659,S
554,Large,12-Aug-15,3659,S
555,Large,19-Nov-15,3659,L
556,Micro,29-Jun-15,3664,S
557,Micro,25-Nov-15,3666,L
558,Micro,15-Apr-15,3667,L
559,Micro,30-Jul-15,3667,L
560,Mid,28-Jan-15,3668,S
561,Mid,02-Apr-15,3668,S
562,Mid,11-Jun-15,3668,L
563,Mid,08-Dec-14,3673 TT,L
564,Small,29-Oct-15,3673 TT,S
565,Micro,16-Jul-15,3682,L
566,Micro,28-Jan-15,3688,L
567,Micro,14-Aug-15,3688,L
568,Micro,08-Apr-15,3689,L
569,Mega,08-Jun-15,3699 HK,S
570,Mega,11-Jun-15,3699 HK,L
571,Mega,11-Jun-15,3699 HK,L
572,Small,01-Sep-15,3708,L
573,Mid,10-Jan-13,371 HK,L
574,Micro,09-Apr-15,3754,L
575,Micro,08-Jul-15,3758,S
576,Mid,08-Jan-15,3765,L
577,Small,19-Sep-14,3769,L
578,Small,21-Apr-15,3774,L
579,Small,15-Jul-15,3774,L
580,Small,26-Nov-15,3774,L
581,Micro,12-Jun-15,3785,L
582,Micro,19-Aug-15,3785,S
583,Micro,15-Jan-15,3791,L
584,Micro,22-Oct-14,3793,S
585,Micro,28-Apr-15,3793,S
586,Micro,28-Apr-15,3793,S
587,Mid,09-Apr-15,38 HK,L
588,Mid,04-Nov-14,3818 HK,L
589,Mid,22-Jul-15,3818 HK,L
590,Mega,09-Dec-14,386 HK,S
591,Mega,24-Jun-15,386 HK,L
592,Mega,20-Oct-15,386 HK,L
593,Mid,08-Jul-15,3861,S
594,Large,09-Oct-15,3861,L
595,Mid,25-May-15,3863,L
596,Mega,16-Jun-15,388 HK,S
597,Mega,10-Jul-15,388 HK,L
598,Mega,04-Nov-15,388 HK,L
599,Mid,09-Sep-14,3880,L
600,Mid,30-Oct-15,3880,L
601,Mid,19-Mar-15,3888 HK,S
602,Mid,29-May-15,3888 HK,L
603,Large,13-Apr-15,3898 HK,L
604,Mega,08-Jul-15,390 HK,S
605,Small,21-Jul-15,3903,L
606,Small,01-Oct-15,3903,S
607,Micro,13-Feb-15,3907,L
608,Micro,18-Mar-15,3907,L
609,Micro,10-Mar-15,3908,L
610,Micro,11-Mar-15,3909,L
611,Micro,22-Apr-15,3909,L
612,Micro,09-Mar-15,3910,L
613,Micro,17-Mar-15,3911,L
614,Small,12-Aug-15,3911,L
615,Micro,20-Mar-15,3913,L
616,Micro,21-Apr-15,3914,L
617,Micro,22-Apr-15,3915,L
618,Micro,08-Jul-15,3917,L
619,Micro,27-Jul-15,3918,L
620,Micro,07-Sep-15,3920,L
621,Mega,19-Nov-15,3921,L
622,Mid,22-May-15,3941,S
623,Mega,08-May-15,3988 HK,L
624,Mega,20-Apr-15,4 HK,S
625,Large,27-Nov-15,4 HK,S
626,Mid,08-May-15,4004,L
627,Mid,08-Jul-15,4004,S
628,Large,02-Feb-15,4005,L
629,Large,05-Aug-15,4005,S
630,Large,19-Oct-15,4005,S
631,Large,19-Oct-15,4005,S
632,Micro,16-Jul-15,4007,L
633,Small,30-Oct-15,4008,L
634,Mid,05-Oct-15,4021,L
635,Micro,23-Jan-15,4033,L
636,Small,05-Oct-15,4041,L
637,Mid,25-Sep-14,4042,L
638,Mid,19-Mar-15,4042,L
639,Mid,14-Jul-15,4042,S
640,Mid,04-Sep-15,4042,L
641,Small,18-Nov-15,4047,L
642,Mid,04-Mar-15,4062,L
643,Mid,08-May-15,4062,L
644,Mid,24-Sep-15,4062,S
645,Mega,20-Mar-15,4063,L
646,Micro,20-Oct-14,4082,L
647,Mid,04-Sep-15,4091,S
648,Mid,21-Apr-15,4114,L
649,Mid,30-Oct-15,4114,L
650,Mid,26-Nov-15,4114,S
651,Mid,14-Jan-15,4118,L
652,Mid,20-May-15,4118,L
653,Large,08-Sep-15,4151,S
654,Mid,28-Nov-14,4182,S
655,Mid,24-Feb-15,4183,S
656,Mid,08-Jul-15,4183,S
657,Mid,01-Sep-15,4183,S
658,Mid,05-Nov-15,4183,L
659,Mid,20-Mar-15,4185,S
660,Mid,10-Aug-15,4185,S
661,Large,16-Jul-15,4188,L
662,Small,16-Jul-15,4201,L
663,Mid,20-Mar-15,4202,S
664,Mid,20-May-15,4202,L
665,Large,05-Nov-15,4202,L
666,Mid,26-Nov-15,4205,L
667,Mid,14-Oct-15,4208,L
668,Mid,25-Jun-15,4217,S
669,Mid,27-Nov-15,4217,L
670,Micro,26-Nov-15,4281,L
671,Small,24-Jul-15,4290,L
672,Small,29-Sep-14,4293,L
673,Small,31-Jul-15,4293,L
674,Small,26-Oct-15,4293,L
675,Large,07-Jul-15,4307,L
676,Micro,25-Nov-15,4310,L
677,Large,15-Jan-15,4324,S
678,Large,12-Aug-15,4324,S
679,Micro,12-Jun-15,4344,L
680,Micro,23-Jun-15,4345,L
681,Small,21-Jul-15,4368,L
682,Large,22-Oct-14,4452,L
683,Micro,23-Jan-15,4464,L
684,Micro,20-Apr-15,4465,L
685,Small,30-Oct-15,4471,L
686,Mid,30-Jan-15,4506,L
687,Large,23-Mar-15,4506,L
688,Large,07-May-15,4507,S
689,Large,24-Sep-15,4508,S
690,Large,14-Apr-14,4519,L
691,Mid,15-Sep-15,4521,L
692,Mid,22-Jan-15,4526,S
693,Mid,24-Sep-15,4527,L
694,Mid,14-Jan-15,4544,S
695,Mid,05-Nov-15,4544,S
696,Small,14-Apr-14,4549,L
697,Small,01-Jul-15,4549,L
698,Small,13-Oct-15,4549,L
699,Small,22-Mar-13,4551,L
700,Small,10-Sep-15,4565,S
701,Micro,13-Aug-15,4574,L
702,Mid,11-Dec-14,4587,L
703,Micro,01-Jul-15,4588,L
704,Small,08-Jun-15,4593,L
705,Small,08-Sep-15,4593,S
706,Large,08-Jul-15,4612,S
707,Large,17-Nov-15,4612,L
708,Mid,15-Jan-15,4613,L
709,Mid,30-Jun-15,4613,S
710,Mid,24-Aug-15,4613,S
711,Small,25-Sep-14,4651,S
