,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Industrials,Wholesale Trade,287082400,TNi,8001,JPY,CM,S,Commodities,2014-11-11
2014/12/31,Industrials,Wholesale Trade,76098800,TNi,8001,JPY,CM,S,Commodities,2014-11-11
2014/12/31,Consumer Staples,Wholesale Trade,55567000,HA,8006,JPY,Tail,L,Tourist,2014-06-05
2014/12/31,Industrials,Wholesale Trade,2082527100,TNi,8015,JPY,CM,S,Commodities,2014-05-01
2014/12/31,Industrials,Wholesale Trade,335090100,TNi,8015,JPY,CM,S,Commodities,2014-05-01
2014/12/31,Industrials,Wholesale Trade,92876700,TNi,8015,JPY,CM,S,Commodities,2014-05-01
2014/12/31,Consumer Staples,Retail Trade,1316315000,SM,8028,JPY,Tail,S,Retail,2014-11-19
2014/12/31,Consumer Staples,Retail Trade,216580000,SM,8028,JPY,Tail,S,Retail,2014-11-19
2014/12/31,Consumer Staples,Retail Trade,56875000,SM,8028,JPY,Tail,S,Retail,2014-11-19
2014/12/31,Industrials,Wholesale Trade,1877048400,TNi,8031,JPY,CM,L,Commodities,2014-05-07
2014/12/31,Industrials,Wholesale Trade,299004600,TNi,8031,JPY,CM,L,Commodities,2014-05-07
2014/12/31,Industrials,Wholesale Trade,77669850,TNi,8031,JPY,CM,L,Commodities,2014-05-07
2014/12/31,Industrials,Wholesale Trade,41265000,HA,8046,JPY,Tail,L,Abe,2013-03-15
2014/12/31,Industrials,Wholesale Trade,12576000,HA,8046,JPY,Tail,L,Abe,2013-03-15
2014/12/31,Consumer Discretionary,Precision Instruments,375487000,Adv,8050,JPY,Tech,S,Smartwatch,2014-09-08
2014/12/31,Consumer Discretionary,Precision Instruments,63147000,Adv,8050,JPY,Tech,S,Smartwatch,2014-09-08
2014/12/31,Consumer Discretionary,Precision Instruments,17654000,Adv,8050,JPY,Tech,S,Smartwatch,2014-09-08
2014/12/31,Industrials,Wholesale Trade,935256000,HA,8088,JPY,Tail,L,Hydro,2014-11-20
2014/12/31,Industrials,Wholesale Trade,154014000,HA,8088,JPY,Tail,L,Hydro,2014-11-20
2014/12/31,Industrials,Wholesale Trade,39900000,HA,8088,JPY,Tail,L,Hydro,2014-11-20
2014/12/31,Industrials,Wholesale Trade,165969600,HA,8125,JPY,Tail,L,Abe,2014-07-25
2014/12/31,Industrials,Wholesale Trade,45780800,HA,8125,JPY,Tail,L,Abe,2014-07-25
2014/12/31,Information Technology,Wholesale Trade,108932000,HA,8141,JPY,Tail,L,ISS,2014-11-14
2014/12/31,Information Technology,Wholesale Trade,28438000,HA,8141,JPY,Tail,L,ISS,2014-11-14
2014/12/31,Consumer Discretionary,Retail Trade,128880900,SM,8237,JPY,Tail,L,Tourist,2014-08-14
2014/12/31,Consumer Discretionary,Retail Trade,37328800,SM,8237,JPY,Tail,L,Tourist,2014-08-14
2014/12/31,Financials,Other Financing Business,1286726400,SM,8253,JPY,TailSens,L,Consumer Finance,2014-04-16
2014/12/31,Financials,Other Financing Business,222285600,SM,8253,JPY,TailSens,L,Consumer Finance,2014-04-16
2014/12/31,Financials,Other Financing Business,63026100,SM,8253,JPY,TailSens,L,Consumer Finance,2014-04-16
